,,1/19,2/19,3/19,4/19,5/19,6/19,7/19,8/19,9/19,10/19,11/19,12/19,1/20,2/20,3/20,4/20,5/20,6/20,7/20,8/20,9/20,10/20,11/20,12/20,1/21,2/21,3/21
Port Name,Measure,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March
Laredo,Rail Containers Loaded,"16,715","20,892","23,397","21,296","23,381","24,211","22,190","24,025","22,353","22,441","22,575","20,930","18,263","21,375","22,197","9,054","8,271","19,873","21,799","24,217","22,715","25,999","23,681","21,573","20,590","16,754","21,266"
Laredo,Trains,377,355,398,367,379,390,414,420,373,380,372,362,359,371,401,246,203,280,312,350,362,404,388,402,392,327,389
Laredo,Truck Containers Empty,"54,688","50,401","57,000","49,506","55,024","53,316","59,716","59,094","54,024","59,226","56,017","50,627","61,515","56,006","59,494","46,846","47,751","56,003","58,441","57,099","58,205","61,462","57,531","53,404","53,997","46,493","57,838"
Laredo,Truck Containers Loaded,"141,214","137,255","149,132","140,442","154,557","142,870","148,402","149,049","138,280","150,610","135,967","123,892","130,977","134,309","141,607","99,684","95,546","132,262","144,774","146,568","147,526","159,899","153,046","142,958","146,609","138,178","171,499"
Laredo,Trucks,"195,640","187,418","205,913","189,707","209,333","195,963","207,743","207,401","191,469","209,013","191,148","173,933","194,588","190,252","203,861","146,443","142,673","190,004","205,588","206,216","208,365","221,700","212,898","197,313","200,777","184,524","229,568"
Presidio,Pedestrians,"19,541","15,272","20,125","35,977","22,754","29,185","37,779","26,025","20,934","19,401","21,494","40,295","24,807","17,076","15,731","5,260","7,037","8,126","6,766","6,804","7,624","7,372","6,191","7,206","9,041","7,967","12,184"
Presidio,Personal Vehicle Passengers,"135,702","106,569","130,765","116,790","116,934","120,747","133,374","120,181","113,532","110,649","111,717","125,759","120,912","97,435","91,443","38,834","65,952","67,566","83,995","86,338","78,467","76,222","67,815","70,322","85,103","61,364","81,555"
Presidio,Personal Vehicles,"62,393","53,410","62,810","55,708","58,129","55,964","58,934","56,539","56,328","56,209","54,667","58,203","56,535","50,171","46,457","23,376","35,925","36,172","43,833","44,764","41,817","41,678","38,082","38,649","42,767","33,787","41,720"
Presidio,Truck Containers Empty,150,126,140,142,165,121,167,145,169,197,173,96,327,321,368,208,231,267,299,298,331,340,353,316,345,351,452
Presidio,Truck Containers Loaded,673,581,651,688,711,522,663,662,668,858,850,891,630,500,538,266,234,326,408,457,379,555,568,600,538,540,510
Presidio,Trucks,823,707,791,829,875,643,830,806,833,"1,054","1,022",985,967,798,913,474,462,609,722,774,720,889,937,912,880,891,984
